Mfr Name,Name,Carline,MPG
Porsche,Boxster Spyder,Porsche - Two Seaters,20
Porsche,Cayman,Porsche - Two Seaters,26
Porsche,Cayman,Porsche - Two Seaters,24
Porsche,Cayman GT4,Porsche - Two Seaters,20
Porsche,Cayman GTS,Porsche - Two Seaters,25
Porsche,Cayman GTS,Porsche - Two Seaters,22
Porsche,Cayman S,Porsche - Two Seaters,24
Porsche,Cayman S,Porsche - Two Seaters,23
aston martin,DB9,aston martin - Minicompact Cars,15
aston martin,Vanquish,aston martin - Minicompact Cars,16
Ferrari,California T,Ferrari - Minicompact Cars,19
Ferrari,California T,Ferrari - Minicompact Cars,18
FCA US LLC,500,FCA US LLC - Minicompact Cars,27
FCA US LLC,500,FCA US LLC - Minicompact Cars,30
FCA US LLC,500,FCA US LLC - Minicompact Cars,30
FCA US LLC,500,FCA US LLC - Minicompact Cars,34
FCA US LLC,500 Abarth,FCA US LLC - Minicompact Cars,27
FCA US LLC,500 Abarth,FCA US LLC - Minicompact Cars,30
BMW,Mini Cooper Convertible,BMW - Minicompact Cars,31
BMW,Mini Cooper Convertible,BMW - Minicompact Cars,31
BMW,Mini Cooper S Convertible,BMW - Minicompact Cars,29
BMW,Mini Cooper S Convertible,BMW - Minicompact Cars,27
Porsche,911 Carrera,Porsche - Minicompact Cars,23
Porsche,911 Carrera,Porsche - Minicompact Cars,22
Porsche,911 Carrera 4,Porsche - Minicompact Cars,23
Porsche,911 Carrera 4,Porsche - Minicompact Cars,22
Porsche,911 Carrera 4 Cabriolet,Porsche - Minicompact Cars,22
Porsche,911 Carrera 4 Cabriolet,Porsche - Minicompact Cars,22
Porsche,911 Carrera 4 GTS,Porsche - Minicompact Cars,21
Porsche,911 Carrera 4 GTS,Porsche - Minicompact Cars,21
Porsche,911 Carrera 4 GTS Cabriolet,Porsche - Minicompact Cars,21
Porsche,911 Carrera 4 GTS Cabriolet,Porsche - Minicompact Cars,20
Porsche,911 Carrera 4S,Porsche - Minicompact Cars,22
Porsche,911 Carrera 4S,Porsche - Minicompact Cars,21
