Mfr Name,Name,Carline,MPG
BMW,528i xDrive,BMW - Midsize Cars,26
BMW,535d,BMW - Midsize Cars,30
BMW,535d xDrive,BMW - Midsize Cars,30
BMW,535i,BMW - Midsize Cars,24
BMW,535i xDrive,BMW - Midsize Cars,23
BMW,550i,BMW - Midsize Cars,20
BMW,550i xDrive,BMW - Midsize Cars,19
BMW,ActiveHybrid 5,BMW - Midsize Cars,26
BMW,M5,BMW - Midsize Cars,16
BMW,M5,BMW - Midsize Cars,17
General Motors,LACROSSE,General Motors - Midsize Cars,29
General Motors,LACROSSE,General Motors - Midsize Cars,22
General Motors,LACROSSE,General Motors - Midsize Cars,21
General Motors,LACROSSE AWD,General Motors - Midsize Cars,20
General Motors,REGAL,General Motors - Midsize Cars,24
General Motors,REGAL,General Motors - Midsize Cars,24
General Motors,REGAL,General Motors - Midsize Cars,29
General Motors,REGAL,General Motors - Midsize Cars,23
General Motors,REGAL AWD,General Motors - Midsize Cars,22
General Motors,CTS SEDAN,General Motors - Midsize Cars,25
General Motors,CTS SEDAN,General Motors - Midsize Cars,24
General Motors,CTS SEDAN,General Motors - Midsize Cars,19
General Motors,CTS SEDAN AWD,General Motors - Midsize Cars,24
General Motors,CTS SEDAN AWD,General Motors - Midsize Cars,22
General Motors,CTS-V,General Motors - Midsize Cars,17
General Motors,CRUZE LIMITED,General Motors - Midsize Cars,30
General Motors,CRUZE LIMITED,General Motors - Midsize Cars,30
General Motors,CRUZE LIMITED,General Motors - Midsize Cars,27
